,address,token_name,usd_market_cap,n_holders,website
57,0x4036e950927C025e5B96452D2dAC7EbCAc5A1F10,adidasphase3.com (adidasOriginals),0.0,,
58,0x2e9153F136e05304a0542E57939bcC80B0C16C45,Clonexpets.com Mint Pass (CXP),0.0,,
59,0x7C22Fd3910F213E0aC3943Aa261525b9a6e740F0,coinzilla (coinzilla),0.0,18.0,
60,0xF7E8Da1e95FCD6A0FED848Cc30119e86307ecabb,$ TetherLP.com (TetherLP.com),0.0,6.0,
61,0x7be1B9B932D6C62281461C3965b8240CA5F3615f,MEMELAND POTATOZ (memelandpotatoz.c... (MEMELANDFREE),0.0,,
62,0x276b60D3F7810316505E16D764D60d5214261CC1,World Of Women Galaxy (WOWG),0.0,,
63,0xc3Aa18ECF4D3F05196501259D69882368a51d57b,Optimism (OP),0.0,451.0,
64,0x32456Ce36bCe17e6D5F36De1d5E5592cBb155FD3,Kibatsu_Mecha (Kibatsu_Mecha),0.0,,
65,0x36c89d6C0919607dD7989e9d19932eE1B3721D9e,Invisible Frens (INVSBLEFRENS),0.0,,
66,0x2E43EBAFE93B726E5B87916D00Ea3827da897257,Ether.Insure (EIN),0.0,2.0,
67,0x5C8f992a76FB8d86CF4e1bCe73FbB4F400ce12f2,$ Uniswapxx.com ($ Uniswapxx.com),0.0,1.0,
68,0x5CcCE837B41Dbd2ad74882889749517935741390,abSHIBA.com (ABSHIBA.com),0.0,62005.0,
69,0x17a10104CBC1eD155D083eaD9FCF5C3440bb50e8,$ USDCNotice.com ($ USDCNotice.com <- Vi...),0.0,29451.0,
70,0x7aE4c089F58d1b98D3240a6fcBA1db665227bD2c,Nanopass (NP),0.0,,
71,0x2b79dAd6292b2039eD791AaA6a68a0fc8A8F5Ca6,ETHW (ETHW),0.0,1.0,
72,0x205213065c083d274927882579339c9b7884d21A,V3Award.com (V3Award.com),0.0,6315.0,
73,0xcFCd98df0b4e0F6f29Ae739652B41845f8b97592,memelandpotatoz.com (POTATOZ),0.0,,
74,0x32Ac17Fa2d2061A8A1f03b33a9dFfc0Bbe6b8B41,Post-Fork ETHW IOU (ETHW-IOU),0.0,5.0,
75,0x8e974A905edAE752C5ff9101535799146921d1Be,CryptoPunks.events (CryptoPunks.events),0.0,,
76,0xde1C40Afee27366f0214A350b619962923005Be2,$ LPStrong.com (LPStrong.com),0.0,13001.0,
77,0xe4a581C3E7038957F628027EE1249fDd5fDB2969,DreamWorks Metaverse (DreamWorks),0.0,512.0,
78,0x4eD378811598B74Dbafb9006Fa6a45156C1DDA4E,Staked Ethereum (stakedETH),0.0,13.0,
79,0x6dA1456691E8f20C5f8675C94b88add95607BAC2,Murakami flowers (MuraFlower),0.0,,
80,0x908599FDf490b73D171B57731bd4Ca95b7F0DE6a,Spam Token,0.0,394.0,
81,0x0cC4682b1465BD3bf3B9b13DbD310A1f37c7500D,StaFi Protocol (FIS),0.0,3.0,
82,0xED123a93aB410deD50D917EDfE256D45281B95D5,Spam Token,0.0,14400.0,
83,0xE8f45c8E9902D2468447e46b8692A47c6627834c,Spam Token,0.0,7.0,
84,0x850363386f0fB15E3A50896CdC86882Fb01Bd0D4,Whats The Fuck DAO (WTF),0.0,72.0,
85,0x2524503fB5513f275A8e7da0f5a9509a0a75B2Be,AkitaRyu | AkitaRyu.com (AKITA-RYU🥊),0.0,20.0,
86,0x0332d00ae8e9BAA609eDc48844f48Fdd94CA9547,Spam Token,0.0,8801.0,
87,0xCF2384De9e47e3fF4B68674E4E8809a06d3B1348,Tesla (Tesla),0.0,,
88,0x95c8A1F33EdaA7e17Fd3304Fd121F960a21FFf1b,Infura (Infura),0.0,33.0,
89,0xD8fA6fEf50db2fd4Da343580b2206e490c3d77d6,meta.com (META),0.0,188.0,
90,0xDF77dA4be5B7D58E7fdB86f0973Da2DBb5B36F1B,Uniswap Claim (UNIC),0.0,2.0,
91,0x6a7C5CC282A0A437Eb6D7Dc5BEB304f961ac6411,meta.com (META),0.0,144.0,
92,0x77B25667e5258305Dcaab7E0a21D068c5a3c7eB1,Imaginary Ones (IMAGINARY),0.0,,
93,0xefCb803ee40512fc4075af17D27E7039cc9b9c95,Rolex (Rolex),0.0,,
94,0x2E24a457Ed2f115e558552862E6CCA567fCC61D6,Louis Vuitton (LV),0.0,,
95,0xd696FB3C69726997DFfb904E0a3df28Ddaea3Df8,MetaMask Governance (MASK),0.0,394.0,
96,0x6c960aC724b60Df59974c8F66132FC164Fc6D134,WORLD OF WOMEN (WOW),0.0,,
97,0xB4238689C4938E97B4843e5651E2C66EB6513774,Spam Token,0.0,,
98,0x1f0472Cb6E388f3E7BE73987aFe0C41E579364f1,Peacemaker Inu (https://peacemaker-... (PMI),0.0,10.0,
99,0x8eB3FecAAA963C86d9b49004d9f28092f1Db3D6c,Eth2Fork.com (Eth2Fork.com),0.0,17417.0,
100,0x82dfDB2ec1aa6003Ed4aCBa663403D7c2127Ff67,akSwap.io (akSwap.io),0.0,153151.0,
101,0x20BD935C58026F64Ed9bb178124dA526f9333801,Wordle (Wordle),0.0,,
102,0x7938E06B08132Fb8281b475a239510d912Be87Ef,Epic Games Metaverse (Epic Games),0.0,411.0,
103,0x477E83fA7DFB41e64DAf20eA6950BDe9EA9e253C,Imaginary Ones (IMAGINARY),0.0,,
104,0x14535db7F1C36451657385A7d6caDBefc950216C,Imaginary Ones (IMAGINARY),0.0,,
105,0x1f068a896560632a4d2E05044BD7F03834f1A465,EthFork2.com (EthFork2.com),0.0,40012.0,
106,0x0332d00ae8e9BAA609eDc48844f48Fdd94CA9547,Spam Token,0.0,8801.0,
107,0x1d3878ac859aEa6003Bbe56c2F4c585bC8F3549C,HOO.com (HOO),0.0,106.0,
108,0xfD3508300471a3EF678dE4E3Fb0d01C0ca07f83D,Breezy Bears Origin (Breezy Bears Origin),0.0,,
109,0x141c7c124E574A9Be8a2EE654aC3B0ddC2D884bE,$ TetherLP.com (TetherLP.com),0.0,21277.0,
110,0xA688f34e7fbC26303b097f417fBa072486b8FF94,MEMELAND POTATOZ memelandpotatoz.co... (POTATOZ),0.0,,
