address,name_tag,ether_balance,txn_count,etherscan_address_dataset_reported,token_name,usd_market_cap,n_holders,is_token,etherscan_token_dataset_reported,cryptoscamdb_reported
0x36794518B3Ef84C4B1A40AF9540A03292f692c38,Fake_Phishing2780,0.0,1.0,True,,,,,False,False
0x8Fa86218ec14bB207B5Ae404c60a836c3d7cbB3A,Fake_Phishing2781,0.0,4.0,True,,,,,False,False
0x7f30f5955B7605B96421e7C170eDBbC45b373cD9,Fake_Phishing2782,0.0,5.0,True,,,,,False,False
0x53e00C6a2887f71BED5340cE369675dDaff4F42A,Fake_Phishing2783,0.0,1.0,True,,,,,False,False
0x9C6625Dc8333b633c40a0C2f2a49379363763BA0,Fake_Phishing2784,0.0,16.0,True,,,,,False,False
0x6c3bb918A1242bA4e32908D7bF4AddD7eF651e74,Fake_Phishing2785,0.0,1.0,True,,,,,False,False
0x7d4Bf678252C1C85aA46E032Bf70E76439eE1708,Fake_Phishing2786,0.0,1.0,True,,,,,False,False
0x697A260bA6365Ab241f7AEF057Da3587F0C255ca,Fake_Phishing2787,0.0,1.0,True,,,,,False,False
0x7Db95f8d8D80A75D768A2F8b0Be392FF901d3fC8,Fake_Phishing2788,0.0,1.0,True,,,,,False,False
0x409de70d8aD0135e6Fd91F343899b93d903C998b,Fake_Phishing2789,0.0,9.0,True,,,,,False,False
0xBD806A9A7Ad8ce9d36048861DD63a295a3c9d5F2,Fake_Phishing2790,0.0,1.0,True,,,,,False,False
0x203daffA152DAfAF2a859029f729B364Fc8540F8,Fake_Phishing2791,0.0,3.0,True,,,,,False,False
0x6683a4Be619299c84cA1815BfD9540949b7bDdFe,Fake_Phishing2794,0.0,0.0,True,,,,,False,False
0x29cc635a3968beEc56c6a3F5dA1C033A18EE1571,Fake_Phishing2799,0.0,40.0,True,,,,,False,False
0x9e4563609f3315480821433C14f0E94E2f4fBb28,Fake_Phishing2812,0.035,4.0,True,,,,,False,False
0xF9DC4422f9DeDb279C125012Fd5Ba93a973E607e,Fake_Phishing2813,0.0,2.0,True,,,,,False,False
0xc1E6e4D9Fc0B7e555bb8634BcACc9A1067bEC039,Fake_Phishing2814,0.0,572.0,True,,,,,False,True
0x4256117a02aC880335f8bFbEed63f92eC0001A5a,Fake_Phishing2821,0.0,34.0,True,,,,,False,True
0xea7E05CB00b2430B486a2B866d4bB8adcf0EBa64,Fake_Phishing2841,0.0,15.0,True,,,,,False,False
0xcDe98f7FCaaF6D2d3c30Ed41E32d40F91AecdB96,Fake_Phishing2843,0.0,20.0,True,,,,,False,False
0x1bd913BBaDE46bF5AD8b1e5d117701fBEb078228,Fake_Phishing2845,0.0,79.0,True,,,,,False,False
0xA0a3cce6068a735E20Bd047cdE6Bff19F638aE39,Fake_Phishing2852,0.0,16.0,True,,,,,False,False
0xe0fF829cd4909e8E8680e9e0d9189b479C3BC5B8,Fake_Phishing2878,0.0,11.0,True,,,,,False,True
0xa932DD6d00FeD9D1CD140275A5cAA32d0B1e0D68,Fake_Phishing2957,0.0,31.0,True,,,,,False,False
0x65440e4CE8a9a596a20EC8f910DfC8b1a20c5f7a,Fake_Phishing2972,0.0,59.0,True,,,,,False,True
0x9477f48a278909A94D8cd9480dFA85D07103F004,Fake_Phishing3069,0.0,756.0,True,Tether USD (USDT),0.0,343.0,True,True,False
0x4a008b542165fEC7eC3343a35cEED6bC4F6b2280,Fake_Phishing3085,0.01503753,2274.0,True,,,,,False,False
0x4fd942e51d15cdb966b58C3297D6d7E24d27480B,Fake_Phishing3112,0.0,4.0,True,,,,,False,False
0xf2effC1cD320Ff062BaE8649d150dBEa3Cb6b189,Fake_Phishing3132,0.0,69.0,True,Ethereum (ETH),0.0,62.0,True,True,False
0x870CBbD204D5e2317c60374888e4b6be3BFA092B,Fake_Phishing3189,0.0,10.0,True,Tellor (TRB),0.0,3.0,True,True,False
0x4711c198e6f04C02413794568990B6A835E8EaD9,Fake_Phishing319,0.0,76.0,True,,,,,False,False
0xB507eBC4c6B65a11502fe5F20f8cEebc7E155fB4,Fake_Phishing3368,0.0,686.0,True,,,,,False,False
0xb15882a04E840946cB12B41bD070DFE7B1486f93,Fake_Phishing3426,0.0,425.0,True,,,,,False,False
0xb197af2df029e3367316aDBEA2f871fdb011ccCa,Fake_Phishing3537,0.0,181.0,True,,,,,False,False
0xA77db707916aDEff81042ca57656931CcD8f428e,Fake_Phishing3628,0.0,92.0,True,,,,,False,False
0x964432e4cFDf1463167D21815BCF9463cf19eA49,Fake_Phishing363,0.0,102.0,True,,,,,False,False
0x48A421A2905FD4C021d075eC049d1dB2433242E4,Fake_Phishing3636,0.0,6.0,True,,,,,False,False
0x5653b0a525A73BA2376e7F97E50B96F5F01531Cf,Fake_Phishing3637,0.0,3.0,True,,,,,False,False
0x6032D639E634E788FcE323B316E06d18194f99A8,Fake_Phishing3665,0.0,17.0,True,,,,,False,False
0x8E22c4713896cf2B69A0CC1B206C8FAd980DB322,Fake_Phishing3806,0.0,30.0,True,,,,,False,False
0xD5b32a25Bb674a3fdD5FAa0549276E6d192982cF,Fake_Phishing3808,0.0,4.0,True,,,,,False,False
0xcC1CE5c8763f3046dE155926C39bebB0f9365995,Fake_Phishing3809,0.0,15.0,True,polkaswap.io (PSWAP),0.0,10.0,True,True,False
0x48Ca1b283148a9C90BB443C45360f1dd19b47F12,Fake_Phishing3816,0.0,8.0,True,,,,,False,False
0x06Ad9bACC335d658550c3bE1FD1A2972F0ed6EfD,Fake_Phishing3817,0.0,8.0,True,bisontrails (BOT),0.0,8.0,True,True,False
0xD510D55710F5963D3BF64c74491A886b4670b611,Fake_Phishing3819,0.0,9.0,True,,,,,False,False
0x20F1Ce2ece9b82fbE501cf4AD62Dd7f7Dce52534,Fake_Phishing3820,0.0,4.0,True,,,,,False,False
0x4aef20778A2E8E3EDEAB721ed235264F00bb6d20,Fake_Phishing3821,0.0,3.0,True,,,,,False,False
0xeB17037Df15F171163D82C586c5b65Ef112924Ca,Fake_Phishing3832,0.0,250.0,True,,,,,False,False
0xDE97bea954E1F1a102876df225BBb4f014d0c487,Fake_Phishing3848,0.0,6.0,True,,,,,False,False
0xe14417012F306B89d0138feD7a04A134C978D5A2,Fake_Phishing3849,0.0,7.0,True,nexusmutual (NXM),0.0,6.0,True,True,False
0x49C5cd3B1aD9718dB6e275B1B3D81C459CB59a6A,Fake_Phishing3852,0.0,5.0,True,Nexus Mutual (NXM),0.0,8.0,True,True,False
0x165B6749812900538402CD540c55be68411F8Ea0,Fake_Phishing3908,0.0,10.0,True,,,,,False,False
0x388Cf3c02c034e7fe8ef164A2B414534fC212119,Fake_Phishing3948,0.0,149.0,True,,,,,False,True
0xEb411D5Df13AC7020992306e78955fb7CBa5f260,Fake_Phishing3966,0.0,10.0,True,,,,,False,True
0xE3D474F3686a831BF380498D1dbd57FDf972CA30,Fake_Phishing3984,0.0,39.0,True,,,,,False,True
0x0669398307EfeFB60030ff328a0cB6A3A840182c,Fake_Phishing3992,0.0,43.0,True,,,,,False,True
0x8105ED8A3BE363e32c91A0904Cd59E0f843d7123,Fake_Phishing3993,0.0,2.0,True,,,,,False,True
0xa95171e49A7e187585C0d5CdE0c209b76a5fD220,Fake_Phishing4002,0.0,40.0,True,,,,,False,True
0x02Fd82cBA3baE39484D5eB7f75B5f3D5F418c691,Fake_Phishing4106,0.0,146.0,True,,,,,False,True
0x11343194B9Ba84C8E5629ffec4F604f410ED28Fc,Fake_Phishing4132,0.0,43.0,True,,,,,False,False
0x573B7846e365050517C022A70c5f1bdCA76d58Ac,Fake_Phishing4186,0.0,2.0,True,Lien.Finance (LIEN),0.0,3.0,True,True,False
0x35309E0e5e86902FbD53D2d0C2f25da9f3842dB3,Fake_Phishing4187,0.0,5.0,True,BRRR.fi 50x v2 (BR10X),0.0,6.0,True,True,False
0x0cC4682b1465BD3bf3B9b13DbD310A1f37c7500D,Fake_Phishing4188,0.0,5.0,True,StaFi Protocol (FIS),0.0,3.0,True,True,False
0xCF1e4C2899ED260dCC68da9BBd986D8Ea1c740D9,Fake_Phishing4219,0.0,7.0,True,,,,,False,False
0x13D0f60B2AaaCCbaB97551219b16BC41dAc84C5A,Fake_Phishing4226,0.0,22.0,True,,,,,False,False
0x514eFa2Ecc1bE6228e46f45999DeE7f1E9ed7b9a,Fake_Phishing4228,0.0,61.0,True,,,,,False,False
0xca03CC32Bb8063261aa6Ff488B89DA5B0f8A487e,Fake_Phishing4240,0.0,7.0,True,,,,,False,False
0xE32Da8605e6d4802F9Fa9A5e3776c12E06cB93f1,Fake_Phishing4262,0.0,4.0,True,,,,,False,False
0x1EA3eCc937bAE79353d198db2cdAB1e5Cbe625DD,Fake_Phishing4345,0.0,56.0,True,,,,,False,False
0x2306934CA884CAA042DC595371003093092b2BBf,Fake_Phishing4347,0.0,539.0,True,,,,,False,False
0x69bBF9a44B46083DAd05D070422AAEAfaca3204C,Fake_Phishing4366,0.0,72.0,True,,,,,False,False
0x0913e0169F5129185C3934920d3CF6E5f56bD3BE,Fake_Phishing4367,0.0,73.0,True,,,,,False,False
0x74fe63027ccD88f9cfFE4255fDF2075243582CE3,Fake_Phishing4378,0.0,11.0,True,,,,,False,False
0x125aFEd1Eb0e75C20D919f875F0C952311a8AF40,Fake_Phishing4379,0.0,10.0,True,,,,,False,False
0x8Ab2A5c943d71959E73DCD7c075947C27D63CFFd,Fake_Phishing4399,0.0,5.0,True,,,,,False,False
0x3C8EF342CCE872c8Ee4A41B8539B3ce95E2fE699,Fake_Phishing4432,0.0,2.0,True,,,,,False,False
0x00bBD61f1f46BB2882E59aF47B69Dd7B501d5317,Fake_Phishing4447,0.0,4.0,True,,,,,False,False
